disp_um,F_uniform_uN,F_ccs_uN
1.878260869565217206e+00,-1.624149520187813778e+00,-2.430430361711216847e+00
1.886287625418060054e+00,-1.612717106867478378e+00,-2.418830128624350095e+00
1.894314381270902903e+00,-1.600352563789869009e+00,-2.406011693670251361e+00
1.902341137123745529e+00,-1.587049529936990666e+00,-2.391966681596116473e+00
1.910367892976588378e+00,-1.572801633500063190e+00,-2.376686686818644034e+00
1.918394648829431226e+00,-1.557602490427925090e+00,-2.360163271816375641e+00
1.926421404682274074e+00,-1.541445703067779505e+00,-2.342387965643581538e+00
1.934448160535116923e+00,-1.524324858894289036e+00,-2.323352262561769521e+00
1.942474916387959771e+00,-1.506233529323282028e+00,-2.303047620782237459e+00
1.950501672240802398e+00,-1.487165268606162272e+00,-2.281465461312862431e+00
1.958528428093645246e+00,-1.467113612801782097e+00,-2.258597166906596954e+00
1.966555183946488095e+00,-1.446072078821913465e+00,-2.234434081104694769e+00
1.974581939799330943e+00,-1.424034163547496235e+00,-2.208967507370942940e+00
1.982608695652173791e+00,-1.400993343011791126e+00,-2.182188708311642245e+00
1.990635451505016418e+00,-1.376943071648128125e+00,-2.154088904977584207e+00
1.998662207357859266e+00,-1.351876781598548405e+00,-2.124659276243335171e+00
2.006688963210702337e+00,-1.325787882080646796e+00,-2.093890958260359980e+00
2.014715719063544963e+00,-1.298669758810547137e+00,-2.061775043979736211e+00
2.022742474916387589e+00,-1.270515773477818300e+00,-2.028302582740835192e+00
2.030769230769230660e+00,-1.241319263271471129e+00,-1.993464579922871849e+00
2.038795986622073286e+00,-1.211073540453895703e+00,-1.957251996655671178e+00
2.046822742474916357e+00,-1.179771891979534360e+00,-1.919655749586397064e+00
2.054849498327758983e+00,-1.147407579157558644e+00,-1.880666710699514965e+00
2.062876254180601610e+00,-1.113973837355189289e+00,-1.840275707186933118e+00
2.070903010033444680e+00,-1.079463875740302115e+00,-1.798473521365309580e+00
2.078929765886287306e+00,-1.043870877060875557e+00,-1.755250890638734518e+00
2.086956521739130377e+00,-1.007187997459510598e+00,-1.710598507502766097e+00
2.094983277591973003e+00,-9.694083663212751389e-01,-1.664507019589123615e+00
2.103010033444815630e+00,-9.305250861531035866e-01,-1.616967029747698348e+00
2.111036789297658700e+00,-8.905312324928686962e-01,-1.567969096163622567e+00
2.119063545150501326e+00,-8.494198538467614412e-01,-1.517503732507996972e+00
2.127090301003344397e+00,-8.071839716533233400e-01,-1.465561408119768316e+00
2.135117056856187023e+00,-7.638165802726888387e-01,-1.412132548217044814e+00
2.143143812709030094e+00,-7.193106469995882435e-01,-1.357207534135753235e+00
2.151170568561872720e+00,-6.736591120987256431e-01,-1.300776703594507921e+00
2.159197324414715347e+00,-6.268548888613949543e-01,-1.242830350983304299e+00
