["port 1","LEFT"]
["port 2","TOP"]
["port 3","RIGHT"]
["port 4","BOTTOM"]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9686371408666666e+014 9.9749485111119351e-001 9.7336476584386826e+000
1.9698862761083331e+014 9.9742020954802113e-001 9.8234549064612526e+000
1.9711354113500000e+014 9.9736284980177359e-001 9.9132513871333892e+000
1.9723845465916666e+014 9.9732564585751082e-001 1.0003042267067675e+001
1.9736336818333331e+014 9.9731006328311855e-001 1.0092833294923182e+001
1.9748828170750000e+014 9.9731605494060005e-001 1.0182630384402261e+001
1.9761319523166666e+014 9.9734208161529214e-001 1.0272439186244934e+001
1.9773810875583331e+014 9.9738525476077156e-001 1.0362264686849178e+001
1.9786302228000000e+014 9.9744158766565971e-001 1.0452110868544949e+001
1.9798793580416666e+014 9.9750633167810421e-001 1.0541980460763099e+001
1.9811284932833331e+014 9.9757436654589582e-001 1.0631874802887127e+001
1.9823776285250000e+014 9.9764060914168073e-001 1.0721793829226247e+001
1.9836267637666666e+014 9.9770040330010790e-001 1.0811736175241657e+001
1.9848758990083331e+014 9.9774985537762362e-001 1.0901699392916688e+001
1.9861250342500000e+014 9.9778608533545465e-001 1.0991680252999757e+001
1.9873741694916666e+014 9.9780737123035312e-001 1.1081675103704164e+001
1.9886233047333331e+014 9.9781317528982305e-001 1.1171680250089372e+001
1.9898724399750000e+014 9.9780405133842576e-001 1.1261692316332784e+001
1.9911215752166666e+014 9.9778144515630229e-001 1.1351708554709720e+001
1.9923707104583331e+014 9.9774741024505520e-001 1.1441727070298411e+001
1.9936198457000000e+014 9.9770427033359255e-001 1.1531746938841355e+001
1.9948689809416666e+014 9.9765426580758076e-001 1.1621768206113154e+001
1.9961181161833331e+014 9.9759922337893325e-001 1.1711791769558337e+001
1.9973672514250000e+014 9.9754028636784908e-001 1.1801819155636782e+001
1.9986163866666666e+014 9.9747773700886888e-001 1.1891852217922713e+001
("port 1","mode 1",1,"port 4",1,"transmission")
(101, 3)
1.8737028625000000e+014 8.8147254892489589e-004 -2.0148396646013551e+000
1.8749519977416666e+014 1.0232708493848532e-003 -1.5928103835392331e+000
1.8762011329833334e+014 1.2102687218818954e-003 -1.2455514873552458e+000
1.8774502682250000e+014 1.4184668966333376e-003 -9.5354260748657305e-001
1.8786994034666666e+014 1.6326581018183050e-003 -6.9846549833202454e-001
1.8799485387083334e+014 1.8432903164579532e-003 -4.6794364705347841e-001
1.8811976739500000e+014 2.0440570404269111e-003 -2.5422239139630343e-001
1.8824468091916666e+014 2.2305808009231579e-003 -5.2467908425956201e-002
1.8836959444333334e+014 2.3997402482908714e-003 1.4037918602618271e-001
1.8849450796750000e+014 2.5493226461527864e-003 3.2629077779241422e-001
1.8861942149166666e+014 2.6778361091371289e-003 5.0655594078465915e-001
1.8874433501583334e+014 2.7843998203779053e-003 6.8202287655774152e-001
1.8886924854000000e+014 2.8686714964936827e-003 8.5324740658196385e-001
1.8899416206416666e+014 2.9307912971859220e-003 1.0205870082572521e+000
1.8911907558833334e+014 2.9713313300229341e-003 1.1842624849876096e+000
1.8924398911250000e+014 2.9912450918929958e-003 1.3444000423168618e+000
1.8936890263666666e+014 2.9918140467005512e-003 1.5010613339677330e+000
1.8949381616083334e+014 2.9745902224618537e-003 1.6542660523266113e+000
1.8961872968500000e+014 2.9413347910337531e-003 1.8040098546414487e+000
1.8974364320916666e+014 2.8939533619075320e-003 1.9502792921876224e+000
1.8986855673333334e+014 2.8344293297406301e-003 2.0930646464914484e+000
1.8999347025750000e+014 2.7647571383287313e-003 2.2323710137280917e+000
1.9011838378166666e+014 2.6868777851118378e-003 2.3682275378040862e+000
1.9024329730583334e+014 2.6026192716058663e-003 2.5006943518255205e+000
1.9036821083000000e+014 2.5136449500477772e-003 2.6298665626443154e+000
1.9049312435416666e+014 2.4214127390083102e-003 2.7558745425456346e+000
1.9061803787833334e+014 2.3273176975195081e-003 2.8787819793914884e+000
1.9074295140250000e+014 2.2321519693817402e-003 2.9988698156856382e+000
1.9086786492666666e+014 2.1366599674152689e-003 3.1163308681886859e+000
1.9099277845083334e+014 2.0413664659009864e-003 3.2313512738586097e+000
1.9111769197500000e+014 1.9466109123885593e-003 3.3440918740399930e+000
1.9124260549916666e+014 1.8525920289929056e-003 3.4546692232526870e+000
1.9136751902333334e+014 1.7594181120445258e-003 3.5631380850215475e+000
1.9149243254750000e+014 1.6671579598229302e-003 3.6694770923018813e+000
1.9161734607166666e+014 1.5758875266140302e-003 3.7735788601640410e+000
1.9174225959583334e+014 1.4857281402230753e-003 3.8752453777677616e+000
1.9186717312000000e+014 1.3968732457461611e-003 3.9741891096976047e+000
1.9199208664416666e+014 1.3096019289422453e-003 4.0700399840970611e+000
1.9211700016833334e+014 1.2242787377426535e-003 4.1623583278424983e+000
1.9224191369250000e+014 1.1413404503164042e-003 4.2506537160323852e+000
1.9236682721666666e+014 1.0612714197318742e-003 4.3344094292788871e+000
1.9249174074083334e+014 9.8457002845224505e-004 4.4131114935372011e+000
1.9261665426500000e+014 9.1170972093108156e-004 4.4862798732026183e+000
1.9274156778916666e+014 8.4309912996880681e-004 4.5534972464583259e+000
1.9286648131333334e+014 7.7904692772618692e-004 4.6144282992901848e+000
1.9299139483750000e+014 7.1973794893220573e-004 4.6688207086437430e+000
1.9311630836166666e+014 6.6522732899503283e-004 4.7164797331750963e+000
1.9324122188583331e+014 6.1545821177446996e-004 4.7572136000872103e+000
1.9336613541000000e+014 5.7030551084597306e-004 4.7907579026337963e+000
1.9349104893416666e+014 5.2964324916855818e-004 4.8167035230944393e+000
1.9361596245833331e+014 4.9342668828681257e-004 4.8344717366072665e+000
1.9374087598250000e+014 4.6191043980705986e-004 4.8431326183279682e+000
1.9386578950666666e+014 4.3531982143364445e-004 4.8424687626178642e+000
1.9399070303083331e+014 4.1421558845892130e-004 4.8326572078165011e+000
1.9411561655500000e+014 3.9929756156426054e-004 4.8151274634417476e+000
